Title,Release Date,Genres,Runtime,Format,Country,Language,Foreign Language,Seen,Is TV Series,Runtime in Minutes,Duration Type
12 Monkeys,1995,Mystery | Science Fiction | Thriller,2:09,Blu-ray,USA,English,No,No,No,129,Medium
127 Hours,2010,Biography | Drama,1:34,DVD,USA,English,No,No,No,94,Medium
1917,2019,Action | Drama | War,1:59,4K UHD,UK,English,No,No,No,119,Medium
2001: A Space Odyssey,1968,Adventure | Science Fiction,2:29,Blu-ray,UK,English,No,No,No,149,Medium
28 Days Later,2002,Drama | Horror | Science Fiction | Thriller,1:53,DVD,UK,English,No,No,No,113,Medium
300,2006,Action | Drama,1:57,DVD,USA,English,No,No,No,117,Medium
The 36th Chamber of Shaolin,1978,Action | Adventure | Drama,1:56,DVD,Hong Kong,Mandarin,Yes,No,No,116,Medium
The 36th Chamber: The Final Encounter,1981,Action,1:23,DVD,Hong Kong,English,No,No,No,83,Short
The 36th Chamber: The Final Encounter,1981,Action,1:23,DVD,Hong Kong,English,No,No,No,83,Short
3:10 to Yuma,2007,Action | Crime | Drama | Western,2:02,Blu-ray,USA,English,No,No,No,122,Medium
500 Days of Summer,2009,Comedy | Drama | Romance,1:35,Blu-ray,USA,English,No,No,No,95,Medium
Abraham Lincoln: Vampire Hunter,2012,Action | Fantasy | Horror,1:45,Blu-ray,USA,English,No,No,No,105,Medium
Akira,1988,Action | Animation | Drama | Fantasy | Science Fiction | Thriller,2:04,DVD,Japan,Japanese,Yes,No,No,124,Medium
Aladdin,1992,Adventure | Animation | Comedy | Family | Fantasy | Musical | Romance,1:30,DVD,USA,English,No,No,No,90,Medium
Alien,1979,Horror | Science Fiction,1:57,Blu-ray,UK,English,No,No,No,117,Medium
Aliens,1986,Action | Adventure | Science Fiction | Thriller,2:17,Blu-ray,UK,English,No,No,No,137,Medium
Allied,2016,Action | Drama | Romance | Thriller | War,2:04,Blu-ray,UK,English,No,No,No,124,Medium
The Amazing Spider-Man,2012,Action | Adventure | Science Fiction,2:16,Blu-ray,USA,English,No,No,No,136,Medium
Apocalypse Now,1979,Drama | Mystery | War,2:27,DVD,USA,English,No,No,No,147,Medium
Avatar,2009,Action | Adventure | Fantasy | Science Fiction,2:42,Blu-ray,USA,English,No,No,No,162,Medium
Avatar: The Last Airbender: Book 1: Water,2005,Action | Adventure | Animation | Family | Fantasy | Mystery,8:26,Blu-ray,USA,English,No,No,Yes,506,Long
Avatar: The Last Airbender: Book 2: Earth,2006,Action | Adventure | Animation | Family | Fantasy | Mystery,2:03,Blu-ray,USA,English,No,No,Yes,123,Medium
Avatar: The Last Airbender: Book 3: Fire,2007,Action | Adventure | Animation | Family | Fantasy | Mystery,10:30,Blu-ray,USA,English,No,No,Yes,630,Long
The Avengers,2012,Action | Science Fiction,2:23,Blu-ray,USA,English,No,No,No,143,Medium
Avengers: Age of Ultron,2015,Action | Adventure | Science Fiction,2:21,Blu-ray,USA,English,No,No,No,141,Medium
Avengers: Endgame,2019,Action | Adventure | Drama | Science Fiction,3:01,4K UHD,USA,English,No,No,No,181,Long
Azumi 2: Death or Love,2005,Action,1:48,DVD,Japan,Japanese,Yes,No,No,108,Medium
Baby Driver,2017,Action | Crime | Drama | Music,1:53,4K UHD,UK,English,No,No,No,113,Medium
Back to the Future,1985,Adventure | Comedy | Science Fiction,1:56,Blu-ray,USA,English,No,No,No,116,Medium
Back to the Future Part II,1989,Adventure | Comedy | Science Fiction,1:48,Blu-ray,USA,English,No,No,No,108,Medium
Back to the Future Part III,1990,Adventure | Comedy | Science Fiction | Western,1:58,Blu-ray,USA,English,No,No,No,118,Medium
Batman Begins,2005,Action | Crime | Drama,2:20,Blu-ray,USA,English,No,No,No,140,Medium
"Batman: The Long Halloween, Part One",2021,Action | Animation | Crime | Horror | Mystery | Science Fiction,1:25,Blu-ray,USA,English,No,No,No,85,Short
Batman: Mask of the Phantasm,1993,Action | Adventure | Animation | Crime | Family | Mystery | Science Fiction,1:16,4K UHD,USA,English,No,No,No,76,Short
"Batman: The Long Halloween, Part Two",2021,Action | Animation | Crime | Horror | Mystery | Science Fiction,1:27,Blu-ray,USA,English,No,No,No,87,Short
Battle Royale,2000,Action | Adventure | Drama | Thriller,1:54,Blu-ray,Japan,Japanese,Yes,No,No,114,Medium
Beauty and the Beast,1991,Animation | Family | Fantasy | Musical | Romance,1:24,Blu-ray,USA,English,No,No,No,84,Short
Beverly Hills Ninja,1997,Action | Comedy,1:28,DVD,USA,English,No,No,No,88,Short
Big Hero 6,2014,Action | Adventure | Animation | Comedy | Family | Science Fiction,1:42,Blu-ray,USA,English,No,No,No,102,Medium
The Big Sick,2017,Comedy | Drama | Romance,2:00,Blu-ray,USA,English,No,No,No,120,Medium
Big Trouble in Little China,1986,Action | Adventure | Comedy | Fantasy,1:39,Blu-ray,USA,English,No,No,No,99,Medium
The Birds,1963,Drama | Horror | Mystery | Romance,1:59,Blu-ray,USA,English,No,No,No,119,Medium
Black Panther,2018,Action | Adventure | Science Fiction,2:14,Blu-ray,USA,English,No,No,No,134,Medium
Black Swan,2010,Drama | Thriller,1:48,Blu-ray,USA,English,No,No,No,108,Medium
Blade Runner,1982,Action | Drama | Science Fiction | Thriller,1:57,Blu-ray,USA,English,No,No,No,117,Medium
Blade Runner 2049,2017,Action | Drama | Mystery | Science Fiction | Thriller,2:44,4K UHD,USA,English,No,No,No,164,Medium
Blood Diamond,2006,Adventure | Drama | Thriller,2:23,Blu-ray,USA,English,No,No,No,143,Medium
The Boondock Saints,1999,Action | Crime | Thriller,1:48,DVD,USA,English,No,No,No,108,Medium
The Bourne Identity,2002,Action | Mystery | Thriller,1:59,Blu-ray,USA,English,No,No,No,119,Medium
The Bourne Legacy,2012,Action | Adventure | Thriller,2:15,Blu-ray,USA,English,No,No,No,135,Medium
The Bourne Supremacy,2004,Action | Mystery | Thriller,1:48,Blu-ray,USA,English,No,No,No,108,Medium
The Bourne Ultimatum,2007,Action | Mystery | Thriller,1:55,Blu-ray,USA,English,No,No,No,115,Medium
Brave,2012,Action | Adventure | Animation | Comedy | Drama | Family | Fantasy | Mystery,1:33,Blu-ray,USA,English,No,No,No,93,Medium
